,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
10,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,52,Male,United States of America,Sometimes
11,,,,,,,,,,,,,,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,1,Often,Often,25,Female,United States of America,Always
12,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,31,Male,United States of America,Sometimes
13,No,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,Sometimes
14,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Never
15,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United States of America,Sometimes
16,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,I don't know,"No, I don't think it would","No, they do not",Very open,No,,No,Yes,Yes,Yes,1,Often,Sometimes,30,Male,United States of America,Sometimes
17,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No,,Maybe,Maybe,Somewhat open,No,,I don't know,Yes,Maybe,No,0,Rarely,Often,31,Male,United States of America,Never
18,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,44,Male,United States of America,Always
19,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,No,0,Rarely,Sometimes,34,Male,United States of America,Sometimes
20,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,No,1,Rarely,Sometimes,40,Male,United States of America,Always
21,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,United States of America,Never
22,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,Sometimes
23,,,,,,,,,,,,,Some of my previous employers,"No, I don't think it would",Maybe,Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Male,United States of America,Sometimes
24,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45,Male,United States of America,Sometimes
25,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,Maybe,Yes,Yes,1,Often,Often,37,Female,United States of America,Always
26,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Sometimes
27,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,36,Male,United States of America,Sometimes
28,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Neutral,No,,No,Maybe,Maybe,Yes,1,Rarely,Often,34,Male,United States of America,Always
29,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,United States of America,Sometimes
30,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Maybe,Maybe,Yes,1,Rarely,Often,30,Male,United States of America,Never
31,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat not open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,Female,United States of America,Sometimes
32,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,I don't know,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Sometimes
33,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
34,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,35,Female,United States of America,Never
35,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Often,Often,29,Male,United States of America,Always
36,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,No,,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,United States of America,Never
37,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,46,Male,United States of America,Sometimes
38,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,37,Male,United States of America,Always
39,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Some of my previous employers,Maybe,Maybe,Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Sometimes
40,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,33,Male,United States of America,Always
41,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Sometimes
42,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,"Yes, I experienced",N/A,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Never
43,,,,,,,,,,,,,Some of my previous employers,"No, I don't think it would","No, they do not",Somewhat open,No,,I don't know,Maybe,Maybe,Yes,1,Sometimes,Often,30,Male,United States of America,Sometimes
44,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,,"No, I don't think it would","No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,United States of America,Sometimes
45,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,I don't know,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Maybe,Yes,1,Rarely,Often,35,Male,United States of America,Sometimes
46,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,N/A,,No,Yes,Yes,Yes,1,Sometimes,Often,29,Female,United States of America,Sometimes
47,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,26,Male,United States of America,Sometimes
48,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Female,United States of America,Always
49,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,No,I don't know,Maybe,"No, I don't think they would",Somewhat open,No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,46,Male,United States of America,Sometimes
50,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,28,Female,United States of America,Sometimes
51,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Sometimes
52,I don't know,No,No,No,I don't know,I don't know,Yes,No,Maybe,Yes,No,No,,"Yes, I think it would",Maybe,Very open,No,,I don't know,Yes,Yes,Yes,1,Often,Often,23,Male,United States of America,Sometimes
53,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
54,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Female,United States of America,Sometimes
55,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,No,Yes,Maybe,Yes,1,Often,Often,31,Male,United States of America,Always
56,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,No,1,Sometimes,Sometimes,39,Female,United States of America,Never
57,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,No,I don't know,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,Yes,Yes,1,Sometimes,Sometimes,34,Female,United States of America,Always
58,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,Yes,No,,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,,No,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Sometimes
59,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,N/A,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,31,Male,United States of America,Sometimes
60,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,30,Male,United States of America,Always
61,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,,"Yes, I think it would",Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Sometimes
62,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,I don't know,Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,51,Male,United States of America,Sometimes
63,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,"No, it has not",Maybe,Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,26,Male,United States of America,Sometimes
64,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,Yes,Yes,No,Yes,1,Never,Often,41,Female,United States of America,Sometimes
65,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Never,Often,39,Female,United States of America,Sometimes
66,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,N/A,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,43,Male,United States of America,Sometimes
67,Yes,Yes,Yes,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,24,Female,United States of America,Sometimes
68,,,,,,,,,,,,,I don't know,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",N/A,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,48,Female,United States of America,Sometimes
69,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Maybe,Maybe,No,1,Sometimes,Often,55,Female,United States of America,Always
70,I don't know,No,Yes,No,I don't know,Very difficult,Yes,Maybe,Yes,No,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",No,I don't know,Maybe,Maybe,No,1,Not applicable to me,Often,36,Female,United States of America,Sometimes
71,Yes,No,No,No,No,Somewhat easy,Maybe,No,No,Maybe,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,44,Female,United States of America,Sometimes
72,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,45,Male,United States of America,Sometimes
73,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,I don't know,Yes,Maybe,Yes,1,Rarely,Often,45,Male,United States of America,Sometimes
74,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Never,Sometimes,30,Male,United States of America,Sometimes
75,Yes,No,No,Yes,Yes,I don't know,Maybe,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Neutral,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,1,Rarely,Rarely,34,Male,United States of America,Sometimes
76,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Sometimes
77,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,No,Maybe,I don't know,No,I don't know,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United States of America,Sometimes
78,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,Maybe,Yes,No,I don't know,Maybe,Maybe,Neutral,No,,No,No,Maybe,Yes,1,Rarely,Sometimes,31,Male,United States of America,Sometimes
79,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Always
80,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,29,Female,United States of America,Sometimes
81,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35,Male,United States of America,Sometimes
82,I don't know,No,No,I don't know,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,26,Female,United States of America,Sometimes
83,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,36,Female,United States of America,Always
84,Yes,I am not sure,No,No,No,Somewhat easy,Maybe,No,No,Yes,Yes,No,"Yes, at all of my previous employers","Yes, I think it would","Yes, I think they would",Very open,No,,I don't know,Yes,Yes,Yes,1,Rarely,Often,34,Female,United States of America,Sometimes
85,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes,Some of my previous employers,"Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",N/A,No,Yes,Yes,Yes,1,Rarely,Often,35,Male,United States of America,Sometimes
86,Yes,Yes,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Very open,Maybe/Not sure,N/A,No,No,No,No,1,Never,Often,44,Male,United States of America,Sometimes
87,No,N/A,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Sometimes
88,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,Yes,Yes,1,Never,Sometimes,42,Male,United States of America,Sometimes
89,,,,,,,,,,,,,Some of my previous employers,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Maybe,I don't know,Yes,Yes,Yes,0,Rarely,Sometimes,40,Male,United States of America,Always
90,,,,,,,,,,,,,,"Yes, I think it would","Yes, I think they would",Somewhat open,N/A,,No,Yes,No,Yes,1,Sometimes,Often,50,Female,United States of America,Always
91,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,36,Male,United States of America,Always
92,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Female,United States of America,Always
93,I don't know,No,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers","Yes, I think it would","No, I don't think they would",Somewhat open,No,,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Always
94,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,,"Yes, I think it would","No, I don't think they would",Not open at all,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Never
95,No,I am not sure,No,I don't know,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, it has","No, I don't think they would",Neutral,Maybe/Not sure,N/A,I don't know,Yes,Yes,Yes,1,Sometimes,Often,31,Male,United States of America,Sometimes
96,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Neutral,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,25,Male,United States of America,Sometimes
97,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,I don't know,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Male,United States of America,Sometimes
98,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,41,Female,United States of America,Never
99,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,N/A,No,Yes,Yes,No,0,Rarely,Often,41,Female,United States of America,Sometimes
